Code,Name,Credits,Total Marks,Duration
A.MTH-1101,Basic Algebra,3,100,4
A.MTH-1103,Set Theory,3,100,4
A.MTH-1105,Calculus-I,3,100,4
A.MTH-1107,Basic Statistics,3,100,4
A.MTH-1109,"Properties of Matter, Wave and Sound",3,100,4
CSTE-1101,Basic Computer,2,100,3
FENG-1101,Basic English Skills and Commercial Correspondence,3,100,4
A.MTH-1201,Calculus-II,3,100,4
A.MTH-1203,Linear Algebra,3,100,4
A.MTH-1205,Vector Analysis,3,100,4
A.MTH-1207,Probability theory & Distribution Function,3,100,4
A.MTH-1209,Electricity and Magnetism,3,100,4
A.MTH-2101,Calculus-III,3,100,4
A.MTH-2103,Co-ordinate Geometry of Two Dimensions,3,100,4
A.MTH-2105,Co-ordinate Geometry of Three Dimensions,3,100,4
A.MTH-2107,Ordinary Differential Equations,3,100,4
A.MTH-2109,Statistical Methods & Demography,3,100,4
