,Code,Name
0,A.MTH- 1101,Basic Algebra
1,A.MTH -1103,Set Theory
2,A.MTH -1105,Calculus-I
3,A.MTH- 1107,Basic Statistics
4,A.MTH  1109,"Properties of Matter, Wave and Sound"
5,CSTE   - 1101,Basic Computer
6,FENG  - 1101,Basic English Skills and Commercial Correspondence
7,A.MTH -1201,Calculus-II
8,A.MTH -1203,Linear Algebra
9,A.MTH -1205,Vector Analysis
10,A.MTH -1207,Probability theory& Distribution Function
11,A.MTH-1209,Electricity and Magnetism
12,A.MTH -2101,Calculus-III
13,A.MTH -2103,Co-ordinate Geometry of Two Dimensions
14,A.MTH -2105,Co-ordinate Geometry of Three Dimensions
15,A.MTH -2107,Ordinary Differential Equations
16,A.MTH -2109,Statistical Methods & Demography
17,A.MTH -2111,Tensor Analysis
18,A.MTH -2201,Trigonometry (Plane& Spherical)
19,A.MTH -2203,Partial Differential Equations
20,A.MTH -2205,Heat and Thermodynamics
21,A.MTH -2207,Discrete Mathematics
22,A.MTH -2209,FORTRAN Programming
23,A.MTH - 3101,Real Analysis
24,A.MTH - 3103,Numerical Analysis
25,A.MTH - 3105,Optimization Techniques-I
26,A.MTH - 3107,++ Programming with C/C
27,A.MTH - 3109,Differential Geometry
28,A.MTH-  3111,Mathematics for Business
29,A.MTH -3201,Optimization Techniques - II
30,A.MTH -3203,Method of Applied Mathematics
31,A.MTH -3205,Complex Analysis
32,A.MTH -3207,Mechanics(Statics and Dynamics)
33,A.MTH -3209,Integral Equations
34,A.MTH - 4101,Quantum Mechanics
35,A.MTH – 4103,Classical Mechanics
36,A.MTH – 4105,Fluid Mechanics
37,A.MTH – 4107,Thermodynamics and Statistical Mechanics
38,A.MTH - 4109,Theory of Relativity
39,A.MTH - 4111,Bio-Mathematics
40,A.MTH - 4201,Mathematical Cosmology
41,A.MTH - 4203,Mathematical Astronomy
42,A.MTH - 4202,Math Practical-VI
43,A.MTH – 4207,Bio-Mechanics
44,A.MTH – 4209,Mathematical Modeling in Finance and Business
45,A.MTH – 4211,Electromagnetic Theory
46,A.MTH – 4213,Mathematical Methods for Feed forward Artificial Neural Networks
47,A.MTH – 4215,Graph Theory
48,A.MTH – 4217,Mathematical Modeling in Biology
49,A.MTH – 4219,Micro and Macro Economics
